partner_id,name,state,amount_untaxed,amount_total,date_order
7,S00481,sale,220800.00,253920.00,2026-09-13 07:00:04
7,S00480,sale,213000.00,244950.00,2026-09-13 07:00:04
7,S00479,sale,141000.00,162150.00,2026-09-13 07:00:03
7,S00448,sale,393600.00,452640.00,2026-09-13 04:33:25
7,S00447,sale,214800.00,247020.00,2026-09-13 04:33:25
7,S00446,sale,462000.00,531300.00,2026-09-13 04:33:24
7,S00415,sale,643500.00,740025.00,2026-09-13 02:33:58
7,S00414,sale,628500.00,722775.00,2026-09-13 02:33:58
7,S00413,sale,124500.00,143175.00,2026-09-13 02:33:57
7,S00382,sale,112500.00,129375.00,2026-09-13 01:27:31
7,S00381,sale,63600.00,73140.00,2026-09-13 01:27:31
7,S00380,sale,234000.00,269100.00,2026-09-13 01:27:30
7,S00349,sale,564000.00,648600.00,2026-09-12 23:13:12
7,S00348,sale,678000.00,779700.00,2026-09-12 23:13:11
7,S00347,sale,462000.00,531300.00,2026-09-12 23:13:11
7,S00346,sale,166500.00,191475.00,2026-09-12 22:10:35
7,S00345,sale,331500.00,381225.00,2026-09-12 22:10:35
7,S00344,sale,195600.00,224940.00,2026-09-12 22:10:35
7,S00313,sale,256500.00,294975.00,2026-09-12 15:19:04
7,S00312,sale,328500.00,377775.00,2026-09-12 15:19:04
7,S00311,sale,600000.00,690000.00,2026-09-12 15:19:04
7,S00310,sale,520800.00,598920.00,2026-09-12 14:16:23
7,S00309,sale,292500.00,336375.00,2026-09-12 14:16:22
7,S00308,sale,370500.00,426075.00,2026-09-12 14:16:22
7,S00307,sale,576000.00,662400.00,2026-09-12 13:14:37
7,S00306,sale,480000.00,552000.00,2026-09-12 13:14:37
7,S00305,sale,426000.00,489900.00,2026-09-12 13:14:37
7,S00304,sale,316500.00,363975.00,2026-09-12 12:10:42
7,S00303,sale,294000.00,338100.00,2026-09-12 12:10:42
7,S00302,sale,589200.00,677580.00,2026-09-12 12:10:41
7,S00301,sale,111000.00,127650.00,2026-09-12 11:06:03
7,S00300,sale,273000.00,313950.00,2026-09-12 11:06:03
7,S00299,sale,627000.00,721050.00,2026-09-12 11:06:03
7,S00268,sale,663000.00,762450.00,2026-09-12 06:50:50
7,S00267,sale,727500.00,836625.00,2026-09-12 06:50:50
7,S00266,sale,541500.00,622725.00,2026-09-12 06:50:49
7,S00235,sale,76800.00,88320.00,2026-09-12 05:02:14
7,S00234,sale,709500.00,815925.00,2026-09-12 05:02:14
7,S00233,sale,415500.00,477825.00,2026-09-12 05:02:14
7,S00232,sale,361500.00,415725.00,2026-09-12 03:58:43
7,S00231,sale,322500.00,370875.00,2026-09-12 03:58:43
7,S00230,sale,93600.00,107640.00,2026-09-12 03:58:43
7,S00229,sale,514500.00,591675.00,2026-09-12 03:21:18
7,S00228,sale,322800.00,371220.00,2026-09-12 03:21:18
7,S00227,sale,249000.00,286350.00,2026-09-12 03:21:18
7,S00226,sale,600000.00,690000.00,2026-09-12 03:19:33
7,S00225,sale,300000.00,345000.00,2026-09-12 03:19:32
7,S00224,sale,505500.00,581325.00,2026-09-12 03:19:32
7,S00223,sale,190500.00,219075.00,2026-09-12 03:05:57
7,S00222,sale,88800.00,102120.00,2026-09-12 03:05:57
7,S00221,sale,694500.00,798675.00,2026-09-12 03:05:57
7,S00220,sale,502500.00,577875.00,2026-09-12 02:57:32
7,S00219,sale,184800.00,212520.00,2026-09-12 02:57:31
7,S00218,sale,741000.00,852150.00,2026-09-12 02:57:31
7,S00190,sale,175200.00,201480.00,2026-09-12 02:46:46
7,S00189,sale,280500.00,322575.00,2026-09-12 02:46:46
7,S00188,sale,286500.00,329475.00,2026-09-12 02:46:46
7,S00187,sale,180000.00,207000.00,2026-09-12 02:42:01
7,S00186,sale,466800.00,536820.00,2026-09-12 02:42:01
7,S00185,sale,508500.00,584775.00,2026-09-12 02:42:01
7,S00184,sale,265500.00,305325.00,2026-09-12 02:34:10
7,S00183,sale,420000.00,483000.00,2026-09-12 02:34:10
7,S00182,sale,259500.00,298425.00,2026-09-12 02:34:10
7,S00181,sale,139200.00,160080.00,2026-09-12 02:05:59
7,S00180,sale,231000.00,265650.00,2026-09-12 02:05:59
7,S00179,sale,186000.00,213900.00,2026-09-12 02:05:59
7,S00178,sale,382500.00,439875.00,2026-09-12 01:59:51
7,S00177,sale,242400.00,278760.00,2026-09-12 01:59:51
7,S00176,sale,451500.00,519225.00,2026-09-12 01:59:51
7,S00175,sale,711000.00,817650.00,2026-09-12 01:42:21
7,S00174,sale,459000.00,527850.00,2026-09-12 01:42:21
7,S00173,sale,543000.00,624450.00,2026-09-12 01:42:21
7,S00172,sale,291000.00,334650.00,2026-09-12 01:38:41
7,S00171,sale,364800.00,419520.00,2026-09-12 01:38:40
7,S00170,sale,169500.00,194925.00,2026-09-12 01:38:40
7,S00142,sale,592500.00,681375.00,2026-09-12 01:06:01
7,S00141,sale,346500.00,398475.00,2026-09-12 01:06:01
7,S00140,sale,648000.00,745200.00,2026-09-12 01:06:01
7,S00139,sale,84000.00,96600.00,2026-09-12 00:55:53
7,S00138,sale,579600.00,666540.00,2026-09-12 00:55:53
7,S00137,sale,325500.00,374325.00,2026-09-12 00:55:53
7,S00136,sale,405000.00,465750.00,2026-09-12 00:49:52
7,S00135,sale,483000.00,555450.00,2026-09-12 00:49:52
7,S00134,sale,478500.00,550275.00,2026-09-12 00:49:52
7,S00133,sale,520800.00,598920.00,2026-09-12 00:46:25
7,S00132,sale,231000.00,265650.00,2026-09-12 00:46:25
7,S00131,sale,502500.00,577875.00,2026-09-12 00:46:24
7,S00130,sale,409500.00,470925.00,2026-09-12 00:43:21
7,S00129,sale,81000.00,93150.00,2026-09-12 00:43:21
7,S00128,sale,429000.00,493350.00,2026-09-12 00:43:21
7,S00097,sale,360000.00,414000.00,2026-09-12 00:23:24
7,S00096,sale,428400.00,492660.00,2026-09-12 00:23:24
7,S00095,sale,217500.00,250125.00,2026-09-12 00:23:24
7,S00094,sale,580500.00,667575.00,2026-09-12 00:18:03
7,S00093,sale,300000.00,345000.00,2026-09-12 00:18:03
7,S00092,sale,553200.00,636180.00,2026-09-12 00:18:03
7,S00091,sale,232500.00,267375.00,2026-09-12 00:14:23
7,S00090,sale,556800.00,640320.00,2026-09-12 00:14:22
7,S00089,sale,642000.00,738300.00,2026-09-12 00:14:22
7,S00088,sale,127500.00,146625.00,2026-09-12 00:06:46
7,S00087,sale,690000.00,793500.00,2026-09-12 00:06:45
7,S00086,sale,111000.00,127650.00,2026-09-12 00:06:45
7,S00085,sale,144000.00,165600.00,2026-09-11 23:50:42
7,S00084,sale,640500.00,736575.00,2026-09-11 23:50:42
7,S00083,sale,496500.00,570975.00,2026-09-11 23:50:41
7,S00082,sale,87000.00,100050.00,2026-09-11 23:34:54
7,S00081,sale,366000.00,420900.00,2026-09-11 23:34:54
7,S00080,sale,189000.00,217350.00,2026-09-11 23:34:54
7,S00079,sale,112500.00,129375.00,2026-09-11 23:22:05
7,S00078,sale,244500.00,281175.00,2026-09-11 23:22:05
7,S00077,sale,511200.00,587880.00,2026-09-11 23:22:05
7,S00046,sale,82500.00,94875.00,2026-09-11 23:10:17
7,S00045,sale,576000.00,662400.00,2026-09-11 23:10:16
7,S00044,sale,408000.00,469200.00,2026-09-11 23:10:16
7,S00043,sale,296400.00,340860.00,2026-09-11 22:39:48
7,S00042,sale,372000.00,427800.00,2026-09-11 22:39:48
7,S00041,sale,102000.00,117300.00,2026-09-11 22:39:48
7,S00040,sale,156000.00,179400.00,2026-09-11 22:37:12
7,S00039,sale,453600.00,521640.00,2026-09-11 22:37:11
7,S00038,sale,607500.00,698625.00,2026-09-11 22:37:11
