partner_id,name,state,amount_total,date_order,date_approve
7,P00405,draft,327060.00,2026-09-13 07:00:04,
7,P00372,draft,108675.00,2026-09-13 04:33:25,
7,P00339,draft,371565.00,2026-09-13 02:33:58,
7,P00306,draft,220455.00,2026-09-13 01:27:31,
7,P00273,draft,117990.00,2026-09-12 23:13:12,
7,P00272,draft,207000.00,2026-09-12 22:10:35,
7,P00239,draft,124200.00,2026-09-12 15:19:04,
7,P00238,draft,394335.00,2026-09-12 14:16:23,
7,P00237,draft,226665.00,2026-09-12 13:14:37,
7,P00236,draft,140760.00,2026-09-12 12:10:42,
7,P00235,draft,138690.00,2026-09-12 11:06:04,
7,P00202,draft,129375.00,2026-09-12 06:50:50,
7,P00169,draft,326025.00,2026-09-12 05:02:14,
7,P00168,draft,339480.00,2026-09-12 03:58:43,
7,P00167,draft,150075.00,2026-09-12 03:21:18,
7,P00166,draft,299115.00,2026-09-12 03:19:33,
7,P00165,draft,265995.00,2026-09-12 03:05:57,
7,P00164,draft,343620.00,2026-09-12 02:57:32,
7,P00132,draft,330165.00,2026-09-12 02:46:46,
7,P00131,draft,184230.00,2026-09-12 02:42:01,
7,P00130,draft,235980.00,2026-09-12 02:34:10,
7,P00129,draft,123165.00,2026-09-12 02:05:59,
7,P00128,draft,125235.00,2026-09-12 01:59:52,
7,P00127,draft,229770.00,2026-09-12 01:42:21,
7,P00126,draft,155250.00,2026-09-12 01:38:41,
7,P00094,draft,372600.00,2026-09-12 01:06:01,
7,P00093,draft,365355.00,2026-09-12 00:55:53,
7,P00092,draft,247365.00,2026-09-12 00:49:52,
7,P00091,draft,363285.00,2026-09-12 00:46:25,
7,P00090,draft,260820.00,2026-09-12 00:43:21,
7,P00057,draft,375705.00,2026-09-12 00:23:24,
7,P00056,draft,374670.00,2026-09-12 00:18:03,
7,P00055,draft,338445.00,2026-09-12 00:14:23,
9,P00054,purchase,25875.00,2026-09-12 00:12:45,2026-09-12 00:12:45
7,P00053,draft,258750.00,2026-09-12 00:06:46,
7,P00052,draft,349830.00,2026-09-11 23:50:42,
3,P00051,purchase,862500.00,2026-09-11 23:35:39,2026-09-11 23:35:39
7,P00050,draft,140760.00,2026-09-11 23:34:54,
7,P00049,draft,376740.00,2026-09-11 23:22:06,
7,P00016,draft,260820.00,2026-09-11 23:10:17,
7,P00015,draft,200790.00,2026-09-11 22:39:48,
7,P00014,draft,115920.00,2026-09-11 22:37:12,
7,P00013,draft,396405.00,2026-09-11 22:32:14,
7,P00012,draft,373635.00,2026-09-11 22:25:25,
7,P00011,draft,319815.00,2026-09-11 22:22:38,
7,P00010,draft,182160.00,2026-09-11 22:20:36,
7,P00009,draft,411930.00,2026-09-11 22:12:24,
7,P00008,draft,197685.00,2026-09-11 21:56:11,
7,P00007,draft,326025.00,2026-09-11 21:36:39,
7,P00006,draft,127305.00,2026-09-11 21:32:18,
7,P00005,draft,338445.00,2026-09-11 21:10:46,
7,P00004,draft,333270.00,2026-09-11 21:03:03,
7,P00003,draft,350865.00,2026-09-11 20:59:58,
7,P00002,draft,378810.00,2026-09-11 20:55:52,
7,P00001,draft,276000.00,2026-09-11 20:39:10,
