schedule_date,duration,stage_id,equipment_id,request_date,maintenance_type,name
,,1,1,2026-09-13,corrective,소크 점검 2026-09-13T07:00:04+00:00
,,1,1,2026-09-13,corrective,소크 점검 2026-09-13T04:33:25+00:00
,,1,1,2026-09-13,corrective,소크 점검 2026-09-13T02:33:58+00:00
,,1,1,2026-09-13,corrective,소크 점검 2026-09-13T01:27:31+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T23:13:12+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T22:10:35+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T15:19:04+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T14:16:23+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T13:14:37+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T12:10:42+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T11:06:04+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T06:50:50+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T05:02:14+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T03:58:43+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T03:21:18+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T03:19:33+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T03:05:57+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T02:57:32+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T02:46:46+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T02:42:01+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T02:34:10+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T02:05:59+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T01:59:52+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T01:42:21+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T01:38:41+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T01:06:01+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T00:55:53+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T00:49:52+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T00:46:25+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T00:43:21+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T00:23:24+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T00:18:04+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T00:14:23+00:00
,,1,1,2026-09-12,corrective,소크 점검 2026-09-12T00:06:46+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T23:50:42+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T23:34:55+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T23:22:06+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T23:10:17+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T22:39:48+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T22:37:12+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T22:32:14+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T22:25:25+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T22:22:38+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T22:20:36+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T22:12:24+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T21:56:11+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T21:36:39+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T21:32:18+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T21:10:46+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T21:03:03+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T20:59:58+00:00
,,1,1,2026-09-11,corrective,소크 점검 2026-09-11T20:55:52+00:00
,,1,1,2026-09-11,corrective,오븐 온도 편차 점검
